date,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,isPartial
2012-05-01,8,6,1,3,3,False
2012-06-01,7,8,1,3,3,False
2012-07-01,7,7,1,2,2,False
2012-08-01,9,8,1,2,3,False
2012-09-01,8,8,2,2,2,False
2012-10-01,8,8,1,2,2,False
2012-11-01,9,9,1,2,2,False
2012-12-01,13,9,1,3,3,False
2013-01-01,12,7,1,3,3,False
2013-02-01,12,8,1,2,2,False
2013-03-01,11,8,1,2,2,False
2013-04-01,14,6,1,2,2,False
2013-05-01,13,7,1,3,3,False
2013-06-01,23,12,3,5,5,False
2013-07-01,23,14,3,6,5,False
2013-08-01,30,17,6,7,8,False
2013-09-01,29,16,6,6,8,False
2013-10-01,27,15,4,5,6,False
2013-11-01,31,22,4,7,7,False
2013-12-01,37,20,6,8,9,False
2014-01-01,39,20,6,8,9,False
2014-02-01,37,18,7,7,10,False
2014-03-01,36,17,6,7,9,False
2014-04-01,45,22,6,8,10,False
2014-05-01,52,100,7,12,16,False
2014-06-01,54,42,7,8,11,False
2014-07-01,54,32,9,8,11,False
2014-08-01,47,23,10,8,10,False
2014-09-01,46,18,10,6,9,False
2014-10-01,41,17,6,6,10,False
2014-11-01,35,15,5,5,7,False
2014-12-01,40,13,6,6,10,False
2015-01-01,37,11,5,5,7,False
2015-02-01,35,12,5,5,7,False
2015-03-01,39,9,5,6,9,False
2015-04-01,61,12,9,9,32,False
2015-05-01,52,11,7,10,23,False
2015-06-01,54,10,7,8,15,False
2015-07-01,51,10,7,7,15,False
2015-08-01,43,8,6,6,10,False
2015-09-01,36,7,8,5,7,False
2015-10-01,34,6,5,5,5,False
2015-11-01,34,6,4,5,5,False
2015-12-01,44,7,6,7,6,False
2016-01-01,47,7,6,6,6,False
2016-02-01,45,7,7,6,6,False
2016-03-01,45,6,9,6,6,False
2016-04-01,50,6,8,6,6,False
2016-05-01,41,5,7,7,5,False
2016-06-01,54,7,8,8,6,False
2016-07-01,50,6,8,7,5,False
2016-08-01,45,5,8,6,4,False
2016-09-01,42,4,11,5,3,False
2016-10-01,38,4,7,5,4,False
2016-11-01,36,5,6,5,4,False
2016-12-01,45,5,6,6,4,False
2017-01-01,41,5,6,6,4,False
2017-02-01,37,4,6,8,4,False
2017-03-01,38,4,5,6,3,False
2017-04-01,45,4,5,6,4,False
2017-05-01,36,4,5,7,4,False
2017-06-01,36,4,5,5,3,False
2017-07-01,43,4,6,7,4,False
2017-08-01,39,4,6,5,3,False
2017-09-01,36,3,8,6,3,False
2017-10-01,33,3,4,5,3,False
2017-11-01,33,3,5,5,2,False
2017-12-01,41,3,5,7,3,False
2018-01-01,36,3,5,6,3,False
2018-02-01,32,3,5,5,3,False
2018-03-01,32,2,4,6,3,False
2018-04-01,40,3,5,5,3,False
2018-05-01,35,2,4,8,3,False
2018-06-01,32,2,4,5,3,False
2018-07-01,28,2,3,5,2,False
2018-08-01,24,2,3,4,2,False
2018-09-01,31,2,5,3,1,False
2018-10-01,20,2,3,3,1,False
2018-11-01,23,2,3,3,1,False
2018-12-01,27,2,4,5,2,False
2019-01-01,28,2,4,5,2,False
2019-02-01,23,2,4,4,2,False
2019-03-01,22,2,4,3,1,False
2019-04-01,26,2,6,3,2,False
2019-05-01,19,2,3,5,2,False
2019-06-01,19,2,3,3,2,False
2019-07-01,20,2,3,3,2,False
2019-08-01,16,1,2,3,1,False
2019-09-01,14,1,4,2,1,False
2019-10-01,13,1,3,2,1,False
2019-11-01,16,1,2,3,1,False
2019-12-01,22,2,4,5,2,False
2020-01-01,21,1,53,4,2,False
2020-02-01,15,1,6,3,1,False
2020-03-01,18,1,5,4,2,False
2020-04-01,33,2,17,6,3,False
2020-05-01,23,3,11,9,4,False
2020-06-01,24,2,8,5,3,False
2020-07-01,24,2,7,4,2,False
2020-08-01,20,1,6,4,2,True
