date,Sehun,D.O.,Luhan,Chanyeol,Exo Kai,isPartial
2012-05-01,9,9,9,9,9,False
2012-06-01,8,9,12,8,8,False
2012-07-01,8,9,11,7,8,False
2012-08-01,10,9,15,9,8,False
2012-09-01,9,9,14,6,7,False
2012-10-01,9,9,14,8,6,False
2012-11-01,10,9,13,9,8,False
2012-12-01,15,8,18,11,9,False
2013-01-01,13,8,17,11,11,False
2013-02-01,13,7,14,8,7,False
2013-03-01,12,7,16,9,7,False
2013-04-01,16,7,19,8,7,False
2013-05-01,14,7,19,9,8,False
2013-06-01,25,7,30,18,12,False
2013-07-01,26,8,34,20,14,False
2013-08-01,33,8,41,27,18,False
2013-09-01,32,7,39,23,16,False
2013-10-01,30,8,37,22,14,False
2013-11-01,34,7,41,27,16,False
2013-12-01,41,8,50,30,19,False
2014-01-01,43,8,49,30,21,False
2014-02-01,41,8,47,25,17,False
2014-03-01,39,7,46,26,16,False
2014-04-01,50,8,57,27,18,False
2014-05-01,57,8,56,40,20,False
2014-06-01,59,8,60,45,22,False
2014-07-01,60,9,55,39,20,False
2014-08-01,52,8,52,36,22,False
2014-09-01,50,8,48,31,17,False
2014-10-01,46,8,100,27,16,False
2014-11-01,39,7,50,34,16,False
2014-12-01,44,7,58,31,18,False
2015-01-01,41,8,49,27,17,False
2015-02-01,38,7,49,25,13,False
2015-03-01,43,7,42,31,17,False
2015-04-01,67,8,57,63,21,False
2015-05-01,57,8,47,63,19,False
2015-06-01,59,9,43,69,21,False
2015-07-01,56,9,45,58,18,False
2015-08-01,47,8,37,51,16,False
2015-09-01,40,7,51,39,15,False
2015-10-01,38,7,39,42,13,False
2015-11-01,37,7,39,49,14,False
2015-12-01,48,6,45,45,17,False
2016-01-01,51,8,42,47,21,False
2016-02-01,49,7,42,44,17,False
2016-03-01,49,7,39,47,16,False
2016-04-01,55,7,44,45,26,False
2016-05-01,45,7,36,44,14,False
2016-06-01,60,7,38,59,17,False
2016-07-01,55,7,38,52,14,False
2016-08-01,49,7,31,44,14,False
2016-09-01,46,7,27,43,12,False
2016-10-01,42,7,29,46,11,False
2016-11-01,39,6,26,47,11,False
2016-12-01,50,6,31,64,15,False
2017-01-01,45,7,29,54,15,False
2017-02-01,40,6,27,51,11,False
2017-03-01,42,6,25,43,11,False
2017-04-01,50,6,35,43,11,False
2017-05-01,40,6,33,42,11,False
2017-06-01,40,6,29,42,11,False
2017-07-01,47,7,29,50,14,False
2017-08-01,43,6,24,43,14,False
2017-09-01,39,6,23,49,14,False
2017-10-01,36,6,39,50,11,False
2017-11-01,36,6,19,53,11,False
2017-12-01,45,5,21,52,15,False
2018-01-01,40,6,17,43,17,False
2018-02-01,35,6,17,40,13,False
2018-03-01,35,6,16,42,11,False
2018-04-01,44,5,18,38,12,False
2018-05-01,38,5,14,37,15,False
2018-06-01,35,6,14,37,11,False
2018-07-01,31,6,15,37,10,False
2018-08-01,27,6,14,30,9,False
2018-09-01,34,5,11,37,8,False
2018-10-01,22,6,11,29,7,False
2018-11-01,25,6,11,40,9,False
2018-12-01,29,5,11,41,15,False
2019-01-01,30,5,11,39,52,False
2019-02-01,25,5,10,32,11,False
2019-03-01,24,5,9,30,10,False
2019-04-01,29,5,12,33,9,False
2019-05-01,21,5,9,27,10,False
2019-06-01,21,5,9,27,10,False
2019-07-01,22,6,9,28,9,False
2019-08-01,18,5,8,22,9,False
2019-09-01,15,5,7,18,8,False
2019-10-01,15,5,7,19,9,False
2019-11-01,18,4,6,26,8,False
2019-12-01,24,4,7,25,13,False
2020-01-01,23,5,7,26,15,False
2020-02-01,17,5,7,20,8,False
2020-03-01,20,4,8,23,9,False
2020-04-01,36,4,14,30,13,False
2020-05-01,26,4,12,36,12,False
2020-06-01,26,5,10,32,13,False
2020-07-01,26,4,9,31,12,False
2020-08-01,22,5,9,30,14,True
