date,Sehun,Xiumin,Exo Lay,Baekhyun
2012-05-01,8,1,2,6
2012-06-01,7,1,2,6
2012-07-01,7,1,2,6
2012-08-01,9,2,2,7
2012-09-01,8,2,2,6
2012-10-01,8,1,3,6
2012-11-01,9,1,3,7
2012-12-01,13,2,3,9
2013-01-01,11,2,3,9
2013-02-01,12,2,2,8
2013-03-01,11,3,2,8
2013-04-01,14,2,2,8
2013-05-01,12,2,3,10
2013-06-01,22,5,5,16
2013-07-01,22,7,5,17
2013-08-01,29,8,7,21
2013-09-01,27,8,6,22
2013-10-01,26,8,7,20
2013-11-01,29,10,5,21
2013-12-01,36,11,7,25
2014-01-01,37,12,7,27
2014-02-01,35,12,7,29
2014-03-01,34,15,6,27
2014-04-01,43,12,7,32
2014-05-01,49,14,8,44
2014-06-01,51,14,8,100
2014-07-01,52,13,7,46
2014-08-01,45,12,9,33
2014-09-01,43,11,6,28
2014-10-01,40,10,8,26
2014-11-01,34,8,4,24
2014-12-01,38,11,5,30
2015-01-01,36,10,4,28
2015-02-01,33,9,4,22
2015-03-01,37,13,5,26
2015-04-01,58,16,14,47
2015-05-01,49,15,10,48
2015-06-01,51,15,11,44
2015-07-01,48,14,9,39
2015-08-01,41,13,8,35
2015-09-01,35,10,7,32
2015-10-01,33,12,8,26
2015-11-01,33,12,6,26
2015-12-01,42,11,8,35
2016-01-01,45,12,8,49
2016-02-01,43,11,7,35
2016-03-01,43,21,6,33
2016-04-01,47,13,6,33
2016-05-01,39,11,6,39
2016-06-01,52,14,9,45
2016-07-01,47,14,8,45
2016-08-01,43,13,6,42
2016-09-01,40,14,7,41
2016-10-01,37,12,11,39
2016-11-01,34,12,6,35
2016-12-01,43,12,7,44
2017-01-01,39,12,7,35
2017-02-01,35,10,6,39
2017-03-01,36,14,6,33
2017-04-01,43,11,6,42
2017-05-01,34,10,6,40
2017-06-01,35,10,6,33
2017-07-01,41,16,9,36
2017-08-01,37,13,6,33
2017-09-01,34,14,7,31
2017-10-01,31,11,8,31
2017-11-01,31,10,4,27
2017-12-01,39,12,7,34
2018-01-01,34,11,6,36
2018-02-01,30,10,6,29
2018-03-01,30,16,5,28
2018-04-01,38,11,5,27
2018-05-01,33,10,4,33
2018-06-01,30,9,4,26
2018-07-01,27,8,4,26
2018-08-01,23,8,4,23
2018-09-01,29,7,4,23
2018-10-01,20,6,7,18
2018-11-01,22,7,5,21
2018-12-01,25,8,4,22
2019-01-01,26,9,5,23
2019-02-01,22,8,5,19
2019-03-01,21,11,4,17
2019-04-01,25,9,3,17
2019-05-01,18,14,3,21
2019-06-01,18,7,3,17
2019-07-01,19,7,3,29
2019-08-01,16,5,3,19
2019-09-01,13,4,2,15
2019-10-01,13,4,3,18
2019-11-01,16,5,2,16
2019-12-01,21,6,3,20
2020-01-01,20,6,3,20
2020-02-01,15,5,2,16
2020-03-01,17,8,2,17
2020-04-01,32,6,3,23
2020-05-01,22,8,4,48
2020-06-01,23,6,4,33
2020-07-01,23,6,4,26
2020-08-01,19,5,3,24
