date,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao
2012-05-01,23,11,0,11,0
2012-06-01,11,11,11,11,11
2012-07-01,18,11,0,0,0
2012-08-01,21,31,0,0,0
2012-09-01,17,11,0,0,0
2012-10-01,17,20,10,10,0
2012-11-01,10,0,10,10,0
2012-12-01,9,19,0,9,9
2013-01-01,21,9,9,9,0
2013-02-01,16,0,0,0,0
2013-03-01,15,15,9,0,9
2013-04-01,13,9,9,0,9
2013-05-01,16,8,0,12,8
2013-06-01,28,8,8,8,14
2013-07-01,29,13,8,8,8
2013-08-01,32,26,21,16,11
2013-09-01,60,16,25,8,14
2013-10-01,51,18,8,8,8
2013-11-01,23,38,8,10,23
2013-12-01,58,11,8,0,23
2014-01-01,50,22,7,15,22
2014-02-01,29,8,8,11,16
2014-03-01,29,10,15,11,7
2014-04-01,50,30,11,7,11
2014-05-01,44,100,7,17,15
2014-06-01,66,32,12,8,11
2014-07-01,80,20,15,7,15
2014-08-01,50,12,7,0,12
2014-09-01,13,8,8,8,8
2014-10-01,27,15,22,0,11
2014-11-01,19,7,11,7,7
2014-12-01,35,7,0,9,11
2015-01-01,33,7,10,7,7
2015-02-01,30,7,8,8,8
2015-03-01,20,17,7,7,0
2015-04-01,45,7,7,7,17
2015-05-01,31,7,7,10,23
2015-06-01,37,6,10,13,10
2015-07-01,37,6,9,6,12
2015-08-01,29,13,9,0,9
2015-09-01,18,13,13,7,7
2015-10-01,29,6,0,0,6
2015-11-01,29,6,8,12,6
2015-12-01,29,6,13,11,0
2016-01-01,18,0,6,6,6
2016-02-01,26,6,13,6,13
2016-03-01,24,0,12,0,0
2016-04-01,28,6,6,0,0
2016-05-01,27,6,6,0,6
2016-06-01,39,6,10,15,12
2016-07-01,30,6,9,8,6
2016-08-01,43,6,9,8,12
2016-09-01,20,6,0,9,0
2016-10-01,40,11,9,6,0
2016-11-01,45,6,6,6,6
2016-12-01,18,0,5,0,0
2017-01-01,36,11,5,0,5
2017-02-01,17,6,6,17,0
2017-03-01,28,5,5,0,0
2017-04-01,26,5,10,10,5
2017-05-01,14,5,0,5,5
2017-06-01,23,0,6,6,6
2017-07-01,24,0,6,17,6
2017-08-01,16,8,9,5,5
2017-09-01,24,0,11,6,0
2017-10-01,22,0,5,16,0
2017-11-01,27,0,0,10,5
2017-12-01,28,5,5,5,0
2018-01-01,22,5,5,5,0
2018-02-01,9,0,0,0,0
2018-03-01,18,0,0,5,5
2018-04-01,21,5,5,5,5
2018-05-01,17,0,0,5,9
2018-06-01,13,0,5,5,5
2018-07-01,22,0,5,5,0
2018-08-01,24,0,9,0,5
2018-09-01,25,0,5,0,0
2018-10-01,12,5,5,10,0
2018-11-01,16,0,0,0,0
2018-12-01,7,5,5,5,5
2019-01-01,6,5,5,5,0
2019-02-01,16,5,5,5,0
2019-03-01,17,0,7,5,0
2019-04-01,16,0,5,0,0
2019-05-01,5,0,0,0,0
2019-06-01,12,5,5,0,5
2019-07-01,14,5,14,7,5
2019-08-01,12,0,7,5,5
2019-09-01,9,0,5,0,0
2019-10-01,15,0,7,0,0
2019-11-01,10,4,0,9,0
2019-12-01,14,6,6,4,4
2020-01-01,9,8,40,6,0
2020-02-01,8,0,4,0,0
2020-03-01,7,0,7,3,0
2020-04-01,12,3,7,0,0
2020-05-01,8,0,3,3,3
2020-06-01,6,3,5,3,0
2020-07-01,9,3,3,0,3
2020-08-01,6,0,0,6,0
