date,Sehun,Exo DO,Luhan,Chanyeol,Exo Kai
2012-05-01,27,13,27,13,13
2012-06-01,14,13,0,0,13
2012-07-01,21,0,25,29,13
2012-08-01,25,16,29,16,0
2012-09-01,20,0,13,20,13
2012-10-01,20,12,28,18,12
2012-11-01,12,0,12,16,12
2012-12-01,11,0,33,11,11
2013-01-01,25,0,28,0,16
2013-02-01,19,0,12,23,12
2013-03-01,18,0,16,16,21
2013-04-01,16,0,31,14,16
2013-05-01,20,0,24,0,15
2013-06-01,33,15,23,30,25
2013-07-01,34,28,53,37,19
2013-08-01,38,34,50,31,34
2013-09-01,71,19,71,16,51
2013-10-01,60,36,24,36,18
2013-11-01,27,9,72,36,12
2013-12-01,69,12,63,39,24
2014-01-01,59,13,100,26,15
2014-02-01,35,19,79,41,32
2014-03-01,35,17,15,20,22
2014-04-01,59,18,56,29,9
2014-05-01,52,13,66,58,26
2014-06-01,78,19,100,31,19
2014-07-01,95,9,65,32,21
2014-08-01,59,15,32,38,32
2014-09-01,15,18,45,36,23
2014-10-01,32,9,69,17,11
2014-11-01,23,0,26,20,13
2014-12-01,42,8,25,28,25
2015-01-01,40,10,26,16,16
2015-02-01,36,9,24,27,0
2015-03-01,24,8,13,35,16
2015-04-01,53,11,27,69,16
2015-05-01,36,31,28,49,39
2015-06-01,44,13,12,33,15
2015-07-01,45,11,27,37,10
2015-08-01,35,7,10,27,25
2015-09-01,21,23,18,16,16
2015-10-01,34,7,11,29,22
2015-11-01,34,7,24,22,18
2015-12-01,35,11,17,40,17
2016-01-01,21,7,7,12,17
2016-02-01,31,15,27,23,15
2016-03-01,28,7,19,31,19
2016-04-01,33,7,14,19,14
2016-05-01,32,13,13,31,10
2016-06-01,46,14,12,46,14
2016-07-01,36,34,18,11,7
2016-08-01,51,10,7,23,14
2016-09-01,24,18,7,17,7
2016-10-01,48,0,24,39,9
2016-11-01,53,21,7,18,10
2016-12-01,21,0,17,30,10
2017-01-01,43,13,10,28,10
2017-02-01,20,7,11,22,7
2017-03-01,34,6,14,28,6
2017-04-01,31,18,6,18,12
2017-05-01,17,10,8,21,12
2017-06-01,27,7,13,24,7
2017-07-01,28,16,15,26,16
2017-08-01,19,13,13,17,11
2017-09-01,29,7,9,18,10
2017-10-01,26,0,23,23,11
2017-11-01,32,9,10,38,8
2017-12-01,33,6,16,31,6
2018-01-01,27,8,6,11,11
2018-02-01,11,6,0,13,6
2018-03-01,21,17,6,35,10
2018-04-01,25,6,6,15,0
2018-05-01,20,5,11,11,9
2018-06-01,15,11,9,17,12
2018-07-01,26,7,8,24,8
2018-08-01,29,5,27,18,5
2018-09-01,29,12,9,27,12
2018-10-01,14,8,6,21,11
2018-11-01,19,9,10,38,12
2018-12-01,9,14,6,25,9
2019-01-01,8,12,0,29,42
2019-02-01,19,13,6,19,9
2019-03-01,21,8,11,22,6
2019-04-01,19,0,0,23,11
2019-05-01,5,11,22,15,0
2019-06-01,15,14,7,22,6
2019-07-01,17,22,9,32,9
2019-08-01,15,11,11,19,11
2019-09-01,11,8,5,29,8
2019-10-01,17,8,5,22,14
2019-11-01,12,5,5,24,5
2019-12-01,16,5,7,18,8
2020-01-01,11,6,7,17,19
2020-02-01,9,5,5,16,5
2020-03-01,8,4,4,14,8
2020-04-01,14,4,8,10,8
2020-05-01,10,4,6,9,5
2020-06-01,8,0,6,17,4
2020-07-01,10,4,6,12,5
2020-08-01,7,0,14,18,12
