date,Sehun,Xiumin,Exo Lay,Exo Baekhyun
2012-05-01,28,14,0,0
2012-06-01,14,14,0,0
2012-07-01,22,13,0,0
2012-08-01,26,13,13,0
2012-09-01,21,14,0,14
2012-10-01,21,25,13,0
2012-11-01,12,19,0,0
2012-12-01,12,12,12,12
2013-01-01,26,17,11,0
2013-02-01,21,12,0,12
2013-03-01,19,17,0,11
2013-04-01,17,18,0,0
2013-05-01,21,0,10,10
2013-06-01,35,26,21,15
2013-07-01,36,76,25,15
2013-08-01,40,79,30,10
2013-09-01,75,64,14,10
2013-10-01,63,79,19,0
2013-11-01,29,41,13,22
2013-12-01,73,47,19,10
2014-01-01,62,62,23,9
2014-02-01,37,50,15,10
2014-03-01,37,55,15,14
2014-04-01,62,40,9,9
2014-05-01,55,49,14,14
2014-06-01,83,59,30,43
2014-07-01,100,53,9,16
2014-08-01,63,47,9,19
2014-09-01,16,41,19,14
2014-10-01,33,33,14,0
2014-11-01,24,49,9,9
2014-12-01,44,53,9,17
2015-01-01,42,75,12,0
2015-02-01,38,60,0,9
2015-03-01,26,54,13,9
2015-04-01,56,95,17,17
2015-05-01,38,57,8,0
2015-06-01,46,35,16,16
2015-07-01,47,18,0,0
2015-08-01,37,16,8,8
2015-09-01,22,14,8,0
2015-10-01,36,54,12,15
2015-11-01,36,13,0,0
2015-12-01,37,24,8,16
2016-01-01,23,13,7,11
2016-02-01,32,16,8,8
2016-03-01,30,17,7,0
2016-04-01,35,27,7,7
2016-05-01,33,21,7,14
2016-06-01,49,17,22,18
2016-07-01,38,16,7,7
2016-08-01,54,26,0,7
2016-09-01,25,22,7,10
2016-10-01,50,10,22,7
2016-11-01,56,7,10,15
2016-12-01,23,29,7,7
2017-01-01,45,16,7,0
2017-02-01,21,12,14,7
2017-03-01,36,16,0,6
2017-04-01,32,13,6,6
2017-05-01,18,15,20,7
2017-06-01,28,7,7,7
2017-07-01,30,18,7,14
2017-08-01,20,10,7,0
2017-09-01,30,19,7,0
2017-10-01,27,7,7,13
2017-11-01,34,13,6,6
2017-12-01,35,17,6,8
2018-01-01,28,9,0,6
2018-02-01,11,21,7,0
2018-03-01,22,18,0,0
2018-04-01,27,6,6,6
2018-05-01,21,8,0,0
2018-06-01,16,14,6,6
2018-07-01,27,18,6,6
2018-08-01,31,13,0,0
2018-09-01,31,6,6,12
2018-10-01,15,10,6,6
2018-11-01,20,10,15,12
2018-12-01,9,6,6,6
2019-01-01,8,12,12,6
2019-02-01,20,10,0,0
2019-03-01,22,20,0,0
2019-04-01,20,14,6,6
2019-05-01,6,12,0,6
2019-06-01,16,6,6,0
2019-07-01,18,16,6,9
2019-08-01,16,0,6,12
2019-09-01,12,12,0,6
2019-10-01,18,5,0,0
2019-11-01,13,11,5,0
2019-12-01,17,5,0,5
2020-01-01,12,12,5,5
2020-02-01,10,5,5,5
2020-03-01,8,6,0,0
2020-04-01,15,4,0,4
2020-05-01,11,4,4,8
2020-06-01,8,12,4,5
2020-07-01,11,8,0,4
2020-08-01,8,8,8,0
