,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,Exo DO,Luhan,Chanyeol,Exo Kai,Xiumin,Exo Lay,Exo Baekhyun
2012-05-01,8,6,1,3,3,2.0,10.0,9.0,8.0,1.33,2.0,2.67
2012-06-01,7,8,1,3,3,1.75,10.5,7.0,7.0,1.17,2.33,2.33
2012-07-01,7,7,1,2,3,1.75,10.5,7.0,7.0,1.75,1.75,2.33
2012-08-01,9,8,1,2,3,1.8,13.5,7.2,7.2,1.93,2.57,2.57
2012-09-01,8,8,2,2,2,1.78,11.56,6.22,5.33,1.71,2.29,2.29
2012-10-01,9,8,1,2,2,1.8,12.6,6.3,6.3,1.93,3.86,1.93
2012-11-01,9,9,1,2,2,1.64,11.45,7.36,5.73,1.12,2.25,1.69
2012-12-01,13,9,2,3,3,1.86,16.71,10.21,8.36,1.86,3.1,3.1
2013-01-01,13,7,1,3,3,1.86,15.79,9.29,9.29,1.86,3.1,3.1
2013-02-01,12,8,1,2,2,1.85,13.85,7.38,6.46,1.89,2.53,2.53
2013-03-01,12,8,1,2,2,1.85,14.77,8.31,6.46,2.4,1.8,2.4
2013-04-01,14,6,1,2,3,1.75,16.62,7.0,6.12,1.83,2.43,2.43
2013-05-01,13,7,2,3,4,1.86,17.64,8.36,7.43,2.48,3.1,3.1
2013-06-01,22,12,3,5,5,3.67,27.5,16.5,10.08,5.5,5.5,5.5
2013-07-01,24,14,4,6,6,4.62,32.31,18.46,12.92,6.15,4.92,6.15
2013-08-01,30,17,6,7,8,6.18,36.18,23.82,15.88,8.57,7.35,7.96
2013-09-01,28,16,6,6,8,5.42,36.13,21.68,14.45,8.09,6.22,8.09
2013-10-01,27,14,4,5,6,5.4,34.2,19.8,12.6,7.98,6.75,6.75
2013-11-01,31,21,4,7,7,6.2,38.09,24.8,14.17,10.33,6.08,7.29
2013-12-01,37,20,6,8,9,7.22,45.12,27.07,17.15,11.72,8.02,9.25
2014-01-01,37,20,5,8,9,7.05,43.17,26.43,18.5,12.13,7.28,9.7
2014-02-01,38,18,7,8,9,7.24,44.33,22.62,16.29,12.26,7.35,9.81
2014-03-01,34,17,5,7,9,6.26,41.16,23.26,14.32,14.57,6.07,9.11
2014-04-01,46,22,6,8,10,7.22,54.12,26.16,17.14,12.43,7.46,10.57
2014-05-01,52,100,7,11,15,8.97,50.21,37.66,18.83,14.68,8.56,15.29
2014-06-01,53,42,7,9,11,8.98,54.8,39.53,19.76,14.62,7.92,26.8
2014-07-01,54,32,9,8,11,9.0,49.5,36.9,18.0,13.03,7.45,13.66
2014-08-01,47,22,10,8,9,9.04,46.1,33.44,19.88,11.75,9.28,10.51
2014-09-01,44,17,10,6,9,7.18,44.0,26.94,16.16,11.0,5.5,9.17
2014-10-01,41,17,6,6,10,6.24,89.13,24.07,14.26,11.01,7.96,7.34
2014-11-01,35,14,5,5,7,8.97,45.77,30.51,13.46,8.6,4.91,6.75
2014-12-01,39,13,6,6,10,7.98,51.41,28.36,15.07,10.97,5.48,8.53
2015-01-01,37,11,5,5,8,9.93,45.12,24.37,15.34,9.87,4.32,8.02
2015-02-01,35,11,4,5,7,8.97,43.97,23.33,12.56,9.38,4.38,6.25
2015-03-01,38,9,5,5,9,9.05,37.1,28.05,14.48,13.48,6.13,7.35
2015-04-01,61,12,8,9,32,12.56,51.13,56.51,18.84,16.47,14.64,15.86
2015-05-01,51,11,7,11,23,11.63,42.95,55.47,17.89,15.18,10.32,14.57
2015-06-01,52,10,7,8,15,12.55,38.55,60.07,18.83,15.91,11.62,14.07
2015-07-01,51,10,7,7,16,11.84,40.07,53.73,18.21,15.36,9.22,11.67
2015-08-01,42,8,6,6,9,9.83,32.17,45.57,14.3,13.39,7.91,10.35
2015-09-01,36,7,8,5,7,8.1,45.9,35.1,13.5,10.37,7.32,8.54
2015-10-01,33,6,5,5,6,7.14,34.78,36.57,12.49,12.6,7.8,7.8
2015-11-01,34,6,5,5,5,8.05,36.68,44.74,12.53,12.75,6.07,7.89
2015-12-01,44,6,6,7,5,8.98,39.51,41.31,15.27,11.77,8.68,10.54
2016-01-01,45,7,5,6,6,9.71,37.94,40.59,18.53,12.16,7.3,12.16
2016-02-01,44,6,7,5,6,8.08,37.71,40.41,16.16,11.0,7.94,9.78
2016-03-01,44,6,8,6,5,7.18,35.92,42.2,14.37,22.61,7.33,10.39
2016-04-01,48,6,8,6,5,7.11,39.11,40.89,24.0,13.97,6.08,9.11
2016-05-01,41,5,7,7,5,6.24,32.09,39.22,12.48,11.18,6.21,9.94
2016-06-01,53,7,9,8,6,8.83,33.57,52.12,15.02,15.06,10.24,13.25
2016-07-01,50,6,8,7,5,8.18,34.55,47.27,13.64,14.2,8.64,11.73
2016-08-01,44,5,8,5,4,7.18,27.84,39.51,12.57,13.44,7.33,11.0
2016-09-01,42,5,11,6,3,7.3,24.65,39.26,10.96,14.21,6.79,10.5
2016-10-01,38,4,7,5,3,8.14,26.24,41.62,9.95,12.26,11.03,10.42
2016-11-01,34,5,6,5,4,7.16,23.26,42.05,9.84,12.14,6.07,9.11
2016-12-01,45,5,6,6,4,9.0,27.0,57.6,13.5,12.95,8.01,11.71
2017-01-01,40,5,6,6,4,8.0,25.78,48.0,14.22,12.12,6.67,9.09
2017-02-01,37,4,6,8,4,6.32,24.37,47.83,9.93,10.48,6.17,9.25
2017-03-01,38,4,5,5,3,6.19,22.98,38.0,9.72,14.48,6.03,7.84
2017-04-01,45,4,5,6,4,8.1,31.5,38.7,9.9,11.1,6.78,9.86
2017-05-01,35,4,5,7,4,7.18,29.62,37.69,8.97,11.05,6.14,10.44
2017-06-01,36,4,5,5,3,7.02,26.34,38.63,10.54,10.98,6.71,8.54
2017-07-01,42,4,6,6,4,9.83,25.91,43.79,12.51,17.29,9.88,9.88
2017-08-01,37,4,6,5,3,8.81,22.02,38.76,11.45,14.56,6.67,8.49
2017-09-01,35,3,7,6,3,8.08,20.64,43.08,12.56,13.88,7.24,8.45
2017-10-01,33,3,5,5,3,7.14,33.89,45.49,10.7,10.8,7.8,7.8
2017-11-01,32,3,5,5,2,7.11,16.89,48.0,9.78,9.85,4.31,6.77
2017-12-01,40,3,5,7,3,8.18,19.09,46.36,13.64,12.92,6.77,9.23
2018-01-01,35,3,4,6,3,8.97,15.26,39.49,15.26,11.67,6.75,9.21
2018-02-01,32,3,4,5,3,7.11,14.22,35.56,11.56,11.08,5.54,7.38
2018-03-01,31,2,4,6,3,7.09,14.17,37.2,9.74,17.02,4.86,6.69
2018-04-01,42,3,5,5,3,6.26,16.98,34.85,10.72,11.74,5.56,6.79
2018-05-01,34,2,4,8,3,5.37,13.42,33.11,14.32,10.32,4.25,7.29
2018-06-01,32,2,4,5,2,5.33,12.44,33.78,11.56,9.85,4.31,6.15
2018-07-01,28,2,3,4,2,5.25,13.12,33.25,8.75,9.13,4.26,5.48
2018-08-01,24,2,3,4,2,5.33,12.44,27.56,8.0,8.62,3.69,4.92
2018-09-01,31,1,5,3,1,6.38,10.03,33.74,7.29,7.44,4.34,4.34
2018-10-01,21,2,3,3,1,6.39,9.13,26.48,6.39,6.18,7.41,3.71
2018-11-01,23,2,3,4,2,7.08,9.73,36.27,8.85,6.84,5.59,4.97
2018-12-01,26,2,4,5,2,7.17,10.76,37.66,12.55,8.47,4.23,5.44
2019-01-01,28,2,4,5,2,8.13,9.94,36.13,46.97,9.33,4.98,5.6
2019-02-01,22,2,4,4,1,5.28,8.8,28.16,9.68,7.94,4.28,4.28
2019-03-01,22,1,4,3,1,6.42,8.25,26.58,8.25,11.94,3.77,3.77
2019-04-01,26,2,6,3,2,7.17,10.76,29.59,8.97,9.29,3.1,3.71
2019-05-01,19,2,4,5,2,6.33,8.14,25.33,9.95,14.71,3.06,4.29
2019-06-01,20,2,3,3,2,6.36,9.09,26.36,9.09,6.88,3.75,3.75
2019-07-01,20,2,3,3,2,7.27,8.18,25.45,9.09,6.88,3.75,5.0
2019-08-01,17,1,3,3,1,4.47,7.16,19.68,8.05,5.67,3.15,3.78
2019-09-01,13,1,4,2,1,3.47,6.07,15.6,6.93,4.14,2.36,2.95
2019-10-01,13,1,3,2,1,3.47,6.07,16.47,7.8,4.33,3.1,3.1
2019-11-01,16,1,2,3,1,4.44,6.22,24.0,8.0,4.92,2.46,3.08
2019-12-01,22,2,4,5,2,6.42,7.33,22.92,11.92,6.91,3.77,4.4
2020-01-01,21,1,53,4,2,6.39,7.3,23.74,13.7,5.56,3.09,4.32
2020-02-01,15,1,6,3,1,4.41,5.29,17.65,7.06,4.38,2.5,3.12
2020-03-01,19,1,5,4,2,4.52,7.24,21.71,8.14,8.87,2.53,3.17
2020-04-01,32,2,17,6,3,6.22,12.44,26.67,10.67,6.64,3.62,4.83
2020-05-01,23,2,11,9,4,7.08,11.5,31.85,10.62,7.87,3.63,6.66
2020-06-01,24,2,8,5,3,5.54,9.23,29.54,12.0,6.32,4.42,5.68
2020-07-01,23,2,6,4,2,5.31,7.96,28.31,12.38,6.05,3.63,4.84
2020-08-01,21,2,6,4,2,5.48,9.13,26.48,11.87,6.18,3.71,4.32
