geoName,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,Exo DO,Luhan,Chanyeol,Exo Kai,Xiumin,Exo Lay,Exo Baekhyun
Afghanistan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,58,14,9,12,7,10.74,47.26,66.59,32.22,17.19,15.04,17.19
American Samoa,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua & Barbuda,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,62,8,14,8,8,4.13,51.67,64.07,24.8,30.42,12.87,11.7
Armenia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,49,20,12,8,11,13.19,52.77,47.12,26.38,18.85,15.08,11.31
Austria,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,62,9,12,12,5,8.0,38.0,72.0,20.0,19.97,8.41,14.71
Barbados,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,69,13,18,0,0,0.0,61.86,69.0,38.07,22.29,14.86,0.0
Belize,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,62,16,11,0,11,0.0,72.33,51.67,20.67,23.25,0.0,11.62
Bosnia & Herzegovina,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bouvet Island,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,61,9,12,10,8,78.43,55.19,69.71,26.14,36.1,12.45,14.94
British Indian Ocean Territory,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
British Virgin Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,55,27,12,0,6,11.46,61.87,73.33,27.5,16.6,13.49,18.68
Bulgaria,70,16,14,0,0,0.0,54.19,63.23,38.39,20.91,0.0,0.0
Burkina Faso,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,51,19,8,10,12,0.0,47.91,37.09,18.55,11.7,7.52,13.38
Cameroon,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,48,22,12,8,10,12.92,49.85,48.0,25.85,20.31,12.92,11.08
Cape Verde,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caribbean Netherlands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,64,9,12,7,8,4.41,52.97,72.83,26.48,33.19,10.67,10.67
China,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christmas Island,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocos (Keeling) Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,63,9,11,8,9,0.0,43.91,63.0,21.0,26.07,9.78,9.78
Comoros,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo - Brazzaville,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo - Kinshasa,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Côte d’Ivoire,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,58,13,12,10,7,10.36,45.57,64.21,29.0,18.98,12.65,15.82
El Salvador,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eswatini,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,57,15,12,0,16,0.0,49.4,55.1,28.5,26.82,13.41,14.53
France,51,13,16,8,12,5.67,49.11,52.89,30.22,24.48,12.24,14.28
French Guiana,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Southern Territories,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,52,14,14,9,11,6.0,50.0,56.0,36.0,24.41,13.8,15.92
Ghana,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gibraltar,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,71,15,14,0,0,29.24,50.12,66.82,200.47,29.24,15.31,23.67
Greenland,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadeloupe,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guernsey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heard & McDonald Islands,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong,42,21,15,8,14,11.31,40.38,45.23,22.62,23.74,15.52,10.04
Hungary,62,14,13,0,11,0.0,45.47,70.27,28.93,24.57,12.87,17.55
Iceland,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,55,12,12,12,9,11.79,43.21,64.82,21.61,12.83,9.17,14.67
Indonesia,67,9,9,10,5,7.66,30.63,67.0,19.14,11.82,5.91,13.79
Iran,71,11,8,10,0,4.18,52.21,62.65,18.79,14.62,7.31,11.49
Iraq,66,15,8,11,0,10.0,46.0,48.0,30.0,20.48,11.38,15.93
Ireland,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isle of Man,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,56,11,14,9,10,4.48,62.72,64.96,35.84,25.85,11.85,14.0
Jamaica,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,36,10,17,8,29,72.0,40.8,38.4,52.8,37.24,37.24,13.66
Jersey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,47,18,14,12,9,12.82,49.14,68.36,36.32,14.19,12.42,15.08
Kenya,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiribati,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kosovo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laos,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
