date,Sehun,Exo DO,Luhan,Chanyeol,Exo Kai
2012-05-01,8,2,10,9,8
2012-06-01,8,2,12,8,8
2012-07-01,8,2,12,8,8
2012-08-01,10,2,15,8,8
2012-09-01,9,2,13,7,6
2012-10-01,10,2,14,7,7
2012-11-01,11,2,14,9,7
2012-12-01,14,2,18,11,9
2013-01-01,14,2,17,10,10
2013-02-01,13,2,15,8,7
2013-03-01,13,2,16,9,7
2013-04-01,16,2,19,8,7
2013-05-01,14,2,19,9,8
2013-06-01,24,4,30,18,11
2013-07-01,26,5,35,20,14
2013-08-01,34,7,41,27,18
2013-09-01,31,6,40,24,16
2013-10-01,30,6,38,22,14
2013-11-01,35,7,43,28,16
2013-12-01,41,8,50,30,19
2014-01-01,42,8,49,30,21
2014-02-01,42,8,49,25,18
2014-03-01,38,7,46,26,16
2014-04-01,51,8,60,29,19
2014-05-01,58,10,56,42,21
2014-06-01,59,10,61,44,22
2014-07-01,60,10,55,41,20
2014-08-01,52,10,51,37,22
2014-09-01,49,8,49,30,18
2014-10-01,46,7,100,27,16
2014-11-01,39,10,51,34,15
2014-12-01,44,9,58,32,17
2015-01-01,41,11,50,27,17
2015-02-01,39,10,49,26,14
2015-03-01,42,10,41,31,16
2015-04-01,68,14,57,63,21
2015-05-01,57,13,48,62,20
2015-06-01,58,14,43,67,21
2015-07-01,56,13,44,59,20
2015-08-01,47,11,36,51,16
2015-09-01,40,9,51,39,15
2015-10-01,37,8,39,41,14
2015-11-01,38,9,41,50,14
2015-12-01,49,10,44,46,17
2016-01-01,51,11,43,46,21
2016-02-01,49,9,42,45,18
2016-03-01,49,8,40,47,16
2016-04-01,54,8,44,46,27
2016-05-01,46,7,36,44,14
2016-06-01,60,10,38,59,17
2016-07-01,55,9,38,52,15
2016-08-01,49,8,31,44,14
2016-09-01,46,8,27,43,12
2016-10-01,42,9,29,46,11
2016-11-01,38,8,26,47,11
2016-12-01,50,10,30,64,15
2017-01-01,45,9,29,54,16
2017-02-01,41,7,27,53,11
2017-03-01,43,7,26,43,11
2017-04-01,50,9,35,43,11
2017-05-01,39,8,33,42,10
2017-06-01,41,8,30,44,12
2017-07-01,47,11,29,49,14
2017-08-01,42,10,25,44,13
2017-09-01,39,9,23,48,14
2017-10-01,37,8,38,51,12
2017-11-01,36,8,19,54,11
2017-12-01,44,9,21,51,15
2018-01-01,39,10,17,44,17
2018-02-01,36,8,16,40,13
2018-03-01,35,8,16,42,11
2018-04-01,47,7,19,39,12
2018-05-01,38,6,15,37,16
2018-06-01,36,6,14,38,13
2018-07-01,32,6,15,38,10
2018-08-01,27,6,14,31,9
2018-09-01,34,7,11,37,8
2018-10-01,23,7,10,29,7
2018-11-01,26,8,11,41,10
2018-12-01,29,8,12,42,14
2019-01-01,31,9,11,40,52
2019-02-01,25,6,10,32,11
2019-03-01,24,7,9,29,9
2019-04-01,29,8,12,33,10
2019-05-01,21,7,9,28,11
2019-06-01,22,7,10,29,10
2019-07-01,22,8,9,28,10
2019-08-01,19,5,8,22,9
2019-09-01,15,4,7,18,8
2019-10-01,15,4,7,19,9
2019-11-01,18,5,7,27,9
2019-12-01,24,7,8,25,13
2020-01-01,23,7,8,26,15
2020-02-01,17,5,6,20,8
2020-03-01,21,5,8,24,9
2020-04-01,36,7,14,30,12
2020-05-01,26,8,13,36,12
2020-06-01,26,6,10,32,13
2020-07-01,26,6,9,32,14
2020-08-01,23,6,10,29,13
