date,Sehun,Xiumin,Exo Lay,Exo Baekhyun
2012-05-01,12,2,3,4
2012-06-01,12,2,4,4
2012-07-01,12,3,3,4
2012-08-01,14,3,4,4
2012-09-01,14,3,4,4
2012-10-01,14,3,6,3
2012-11-01,16,2,4,3
2012-12-01,21,3,5,5
2013-01-01,21,3,5,5
2013-02-01,19,3,4,4
2013-03-01,20,4,3,4
2013-04-01,23,3,4,4
2013-05-01,21,4,5,5
2013-06-01,36,9,9,9
2013-07-01,39,10,8,10
2013-08-01,49,14,12,13
2013-09-01,45,13,10,13
2013-10-01,44,13,11,11
2013-11-01,51,17,10,12
2013-12-01,60,19,13,15
2014-01-01,61,20,12,16
2014-02-01,62,20,12,16
2014-03-01,56,24,10,15
2014-04-01,74,20,12,17
2014-05-01,85,24,14,25
2014-06-01,87,24,13,44
2014-07-01,87,21,12,22
2014-08-01,76,19,15,17
2014-09-01,72,18,9,15
2014-10-01,67,18,13,12
2014-11-01,57,14,8,11
2014-12-01,64,18,9,14
2015-01-01,60,16,7,13
2015-02-01,56,15,7,10
2015-03-01,62,22,10,12
2015-04-01,100,27,24,26
2015-05-01,84,25,17,24
2015-06-01,85,26,19,23
2015-07-01,83,25,15,19
2015-08-01,69,22,13,17
2015-09-01,59,17,12,14
2015-10-01,55,21,13,13
2015-11-01,56,21,10,13
2015-12-01,71,19,14,17
2016-01-01,74,20,12,20
2016-02-01,72,18,13,16
2016-03-01,72,37,12,17
2016-04-01,79,23,10,15
2016-05-01,66,18,10,16
2016-06-01,88,25,17,22
2016-07-01,81,23,14,19
2016-08-01,72,22,12,18
2016-09-01,68,23,11,17
2016-10-01,62,20,18,17
2016-11-01,56,20,10,15
2016-12-01,73,21,13,19
2017-01-01,66,20,11,15
2017-02-01,60,17,10,15
2017-03-01,63,24,10,13
2017-04-01,73,18,11,16
2017-05-01,57,18,10,17
2017-06-01,59,18,11,14
2017-07-01,68,28,16,16
2017-08-01,61,24,11,14
2017-09-01,58,23,12,14
2017-10-01,55,18,13,13
2017-11-01,52,16,7,11
2017-12-01,65,21,11,15
2018-01-01,57,19,11,15
2018-02-01,52,18,9,12
2018-03-01,51,28,8,11
2018-04-01,68,19,9,11
2018-05-01,56,17,7,12
2018-06-01,52,16,7,10
2018-07-01,46,15,7,9
2018-08-01,39,14,6,8
2018-09-01,50,12,7,7
2018-10-01,34,10,12,6
2018-11-01,37,11,9,8
2018-12-01,43,14,7,9
2019-01-01,45,15,8,9
2019-02-01,36,13,7,7
2019-03-01,35,19,6,6
2019-04-01,42,15,5,6
2019-05-01,31,24,5,7
2019-06-01,32,11,6,6
2019-07-01,32,11,6,8
2019-08-01,27,9,5,6
2019-09-01,22,7,4,5
2019-10-01,21,7,5,5
2019-11-01,26,8,4,5
2019-12-01,35,11,6,7
2020-01-01,34,9,5,7
2020-02-01,24,7,4,5
2020-03-01,30,14,4,5
2020-04-01,53,11,6,8
2020-05-01,38,13,6,11
2020-06-01,38,10,7,9
2020-07-01,38,10,6,8
2020-08-01,34,10,6,7
