,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,Exo DO,Luhan,Chanyeol,Exo Kai,Xiumin,Exo Lay,Exo Baekhyun
2012-05-01,26,13,0,13,0,19.26,12.52,26.0,0.0,0.0,13.0,0.0
2012-06-01,13,17,13,0,0,13.0,27.0,14.0,27.0,13.0,0.0,13.0
2012-07-01,12,12,0,0,0,12.0,12.0,12.0,0.0,12.0,12.0,12.0
2012-08-01,24,30,0,0,0,11.52,24.0,11.52,11.52,11.61,11.61,0.0
2012-09-01,19,13,25,13,13,0.0,31.35,19.0,12.35,16.72,0.0,0.0
2012-10-01,11,12,0,11,11,11.0,18.33,16.5,11.0,11.0,11.0,0.0
2012-11-01,17,0,11,11,0,0.0,17.0,11.33,21.72,22.41,0.0,0.0
2012-12-01,18,0,0,11,0,11.0,28.0,22.0,17.0,10.96,0.0,0.0
2013-01-01,24,0,10,10,0,21.12,34.56,20.16,10.56,17.03,0.0,0.0
2013-02-01,26,0,0,0,0,0.0,33.7,11.56,0.0,0.0,0.0,0.0
2013-03-01,26,0,0,10,0,0.0,20.22,20.22,15.41,10.24,10.24,15.76
2013-04-01,15,10,10,0,20,0.0,19.69,15.0,19.69,12.75,9.75,0.0
2013-05-01,13,0,0,10,9,0.0,15.0,10.0,10.0,9.75,9.75,0.0
2013-06-01,25,10,9,10,14,19.23,15.38,28.85,12.5,25.0,13.64,18.18
2013-07-01,48,13,14,9,9,8.64,42.24,26.88,26.88,72.0,17.81,13.16
2013-08-01,36,18,18,23,15,26.53,56.84,33.16,36.0,59.74,17.62,13.79
2013-09-01,56,47,9,19,23,18.34,53.1,34.76,46.34,71.56,12.44,15.56
2013-10-01,52,17,9,9,9,14.44,26.0,37.56,14.44,48.9,8.54,0.0
2013-11-01,38,23,13,35,17,8.77,58.46,35.08,20.46,23.75,0.0,26.12
2013-12-01,49,9,9,9,22,17.29,51.88,31.71,12.49,40.44,17.11,8.56
2014-01-01,48,20,17,8,13,8.64,90.24,24.96,24.96,53.42,11.61,8.52
2014-02-01,40,18,9,9,9,12.68,40.0,37.07,15.61,46.27,9.41,12.55
2014-03-01,28,8,8,17,13,21.24,39.59,22.21,8.69,48.22,8.56,8.56
2014-04-01,66,28,9,17,8,12.62,74.74,26.21,8.74,34.16,25.62,17.08
2014-05-01,53,100,8,36,19,8.67,60.71,58.78,21.2,42.09,8.57,8.57
2014-06-01,51,30,27,18,9,24.06,96.23,35.6,21.17,57.18,17.77,20.86
2014-07-01,77,14,26,13,9,34.65,85.66,28.88,11.55,40.04,16.94,20.02
2014-08-01,54,21,0,17,34,8.68,42.43,27.96,17.36,45.39,12.52,0.0
2014-09-01,23,9,0,9,13,17.25,37.38,40.25,17.25,34.5,13.03,17.63
2014-10-01,33,17,8,8,16,10.68,74.74,16.5,10.68,38.37,10.74,8.44
2014-11-01,28,25,8,8,0,8.69,30.9,25.1,12.55,49.78,17.11,0.0
2014-12-01,37,24,8,8,16,7.59,37.0,26.56,19.92,58.58,0.0,0.0
