,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,Exo DO,Luhan,Chanyeol,Exo Kai,Xiumin,Exo Lay,Exo Baekhyun
2012-05-01,8,6,1,4,3,1.78,8.0,8.0,8.0,1.23,1.85,2.46
2012-06-01,8,8,1,3,3,2.67,10.67,7.11,8.0,1.23,2.46,1.85
2012-07-01,8,7,1,2,3,1.78,10.67,7.11,6.22,1.85,2.46,2.46
2012-08-01,9,9,1,2,3,1.8,13.5,7.2,6.3,1.8,2.4,2.4
2012-09-01,9,8,2,2,2,2.7,12.6,6.3,5.4,1.8,2.4,2.4
2012-10-01,8,8,1,2,2,1.6,11.2,5.6,5.6,1.71,3.43,2.29
2012-11-01,9,9,1,2,2,1.8,12.6,8.1,6.3,1.29,2.57,2.57
2012-12-01,13,9,2,3,3,2.6,14.73,9.53,7.8,1.77,2.95,2.95
2013-01-01,12,8,1,2,3,1.71,15.43,8.57,9.43,1.8,3.0,3.0
2013-02-01,12,8,1,2,3,1.85,14.77,7.38,6.46,1.8,2.4,2.4
2013-03-01,12,8,1,2,2,1.85,15.69,8.31,6.46,3.16,1.89,2.53
2013-04-01,14,6,1,2,3,1.75,17.5,7.0,6.12,1.83,2.43,2.43
2013-05-01,13,7,2,3,4,2.6,17.33,7.8,7.8,2.36,2.36,2.95
2013-06-01,22,12,3,5,5,3.52,28.16,15.84,10.56,5.35,4.76,5.35
2013-07-01,23,13,3,6,5,4.42,31.85,18.58,13.27,6.49,5.31,5.9
2013-08-01,30,17,6,7,8,6.18,35.29,24.71,16.76,8.4,7.2,7.8
2013-09-01,27,15,6,6,8,6.1,33.97,20.03,14.81,8.4,6.0,7.8
2013-10-01,26,15,4,5,7,4.33,32.93,19.93,12.13,7.68,7.09,6.5
2013-11-01,30,21,4,7,7,5.29,37.06,24.71,14.12,10.2,6.0,7.2
2013-12-01,38,19,6,8,9,7.07,45.07,27.4,16.79,11.88,8.31,9.5
2014-01-01,38,20,6,8,9,7.95,43.3,26.51,17.67,11.88,7.12,9.5
2014-02-01,37,17,7,7,9,7.05,43.17,24.67,14.98,12.53,6.56,9.55
2014-03-01,35,17,6,6,9,7.18,42.18,23.33,15.26,16.29,5.43,9.05
2014-04-01,44,22,6,8,10,7.92,50.16,25.52,15.84,12.49,7.73,10.11
2014-05-01,51,100,7,12,16,8.79,51.0,36.05,19.34,14.83,8.9,16.01
2014-06-01,52,40,7,8,10,7.93,53.76,40.54,19.39,14.18,7.68,26.59
2014-07-01,54,31,9,7,12,7.84,48.77,35.71,17.42,13.05,7.71,13.65
2014-08-01,46,22,9,8,10,8.68,45.13,31.25,19.09,11.79,8.85,10.62
2014-09-01,45,17,10,6,9,7.06,43.24,26.47,15.0,10.8,6.0,9.0
2014-10-01,41,16,6,6,10,7.13,89.13,24.07,15.15,10.85,7.84,7.84
2014-11-01,35,14,5,5,8,8.75,45.5,28.88,13.12,8.9,4.75,6.53
2014-12-01,39,12,6,6,10,7.98,52.3,27.48,15.95,10.64,4.73,8.27
2015-01-01,37,11,5,5,8,9.69,44.05,23.79,15.86,10.15,4.77,8.35
2015-02-01,34,12,4,5,7,9.59,43.59,22.67,12.21,8.95,4.77,6.56
2015-03-01,38,9,5,6,9,9.72,36.23,28.28,15.02,13.27,5.43,7.24
2015-04-01,60,11,8,9,32,11.47,48.53,55.59,18.53,16.2,15.6,16.2
2015-05-01,50,11,7,10,23,11.4,42.11,54.39,17.54,16.67,10.12,14.29
2015-06-01,52,10,7,8,14,13.0,38.13,60.67,17.33,14.77,11.23,13.59
2015-07-01,50,9,7,7,15,11.4,38.6,50.0,15.79,14.88,8.33,11.31
2015-08-01,41,8,7,6,10,8.91,32.98,45.46,14.26,13.26,8.44,9.65
2015-09-01,36,7,8,5,7,7.9,44.78,34.24,13.17,10.03,7.08,8.26
2015-10-01,33,5,4,5,6,6.95,34.74,36.47,12.16,12.96,7.66,7.07
2015-11-01,35,6,5,5,5,8.08,35.9,45.77,11.67,12.67,6.03,8.45
2015-12-01,44,7,5,6,6,7.92,39.6,40.48,14.96,11.3,8.32,11.3
2016-01-01,46,7,5,6,6,9.73,38.04,40.69,18.58,11.95,7.77,12.55
2016-02-01,43,7,7,6,6,7.9,36.86,41.24,14.92,11.19,7.66,10.01
2016-03-01,43,6,9,6,5,7.02,35.1,41.24,14.92,22.69,6.57,9.56
2016-04-01,48,6,8,6,5,6.98,39.27,40.15,23.56,13.04,6.52,9.48
2016-05-01,41,6,7,6,5,6.24,32.98,40.11,12.48,10.7,5.94,10.1
2016-06-01,53,7,8,8,5,8.83,35.33,53.0,15.9,14.89,10.12,13.7
2016-07-01,50,6,7,7,6,8.77,34.21,46.49,13.16,14.29,8.33,12.5
2016-08-01,44,5,8,5,4,7.04,27.28,38.72,13.2,13.68,7.14,10.7
2016-09-01,41,5,11,5,4,6.98,24.43,37.51,10.47,14.26,7.13,10.1
2016-10-01,38,4,7,4,3,7.07,25.63,40.65,9.72,12.67,10.86,9.65
2016-11-01,34,5,6,5,4,6.97,21.79,40.1,9.59,12.31,5.86,9.38
2016-12-01,44,5,6,6,4,8.8,26.4,55.44,13.2,12.49,7.73,11.3
2017-01-01,40,5,6,6,4,8.0,26.67,48.89,14.22,11.34,6.57,8.96
2017-02-01,36,5,6,7,3,7.02,24.59,46.54,9.66,10.03,6.49,8.26
2017-03-01,38,4,5,5,3,7.07,23.86,38.88,8.84,14.25,5.94,8.31
2017-04-01,45,4,5,6,4,7.94,31.76,38.82,10.59,10.66,6.51,9.47
2017-05-01,35,4,5,7,4,7.0,28.88,36.75,8.75,10.68,5.93,10.08
2017-06-01,36,4,5,6,3,6.15,26.34,36.88,10.54,10.03,6.49,8.26
2017-07-01,41,4,6,7,4,10.7,26.74,45.46,12.48,16.88,9.65,9.65
2017-08-01,38,4,5,5,3,8.84,22.09,39.77,11.49,14.48,7.24,9.05
2017-09-01,35,3,8,6,3,7.88,20.12,42.88,12.25,14.24,7.12,8.31
2017-10-01,33,3,5,5,3,6.95,33.0,45.16,10.42,10.61,7.66,7.66
2017-11-01,32,3,5,5,2,7.11,16.89,48.89,8.89,10.26,4.23,7.25
2017-12-01,40,3,5,6,3,8.89,18.67,46.22,13.33,11.94,6.57,7.76
2018-01-01,35,3,5,6,3,9.62,15.75,39.38,14.88,11.27,5.93,8.9
2018-02-01,31,3,5,5,3,7.09,14.17,36.31,10.63,10.73,5.96,7.15
2018-03-01,31,2,4,6,2,6.89,13.78,37.03,9.47,16.96,4.68,7.02
2018-04-01,41,2,5,5,3,6.24,16.93,33.87,10.7,11.46,5.43,6.63
2018-05-01,34,2,4,8,3,5.37,12.53,33.11,13.42,10.14,4.77,7.16
2018-06-01,31,2,3,6,2,5.31,12.4,33.66,10.63,9.54,4.17,5.96
2018-07-01,29,2,3,4,2,5.27,14.06,33.39,8.79,9.06,3.62,5.44
2018-08-01,24,2,3,3,2,5.14,12.0,26.57,7.71,7.61,4.1,4.68
2018-09-01,30,2,5,3,1,5.29,9.71,33.53,7.06,7.2,3.6,4.2
2018-10-01,21,2,3,3,1,6.12,9.62,25.38,6.12,6.0,6.6,4.2
2018-11-01,23,2,3,3,1,7.08,8.85,35.38,7.96,6.49,5.31,4.72
2018-12-01,27,2,4,5,2,7.2,9.9,37.8,13.5,9.0,4.8,4.8
2019-01-01,27,2,3,5,2,8.1,9.9,36.0,47.7,9.0,4.8,4.8
2019-02-01,23,2,3,4,1,5.31,8.85,29.19,9.73,7.87,4.84,4.24
2019-03-01,21,1,4,3,1,6.12,7.88,26.25,7.88,11.08,3.5,2.92
2019-04-01,26,2,6,4,2,7.17,9.86,30.48,8.97,9.45,3.55,3.55
2019-05-01,18,2,4,5,2,6.0,7.71,24.0,9.43,13.94,2.9,4.65
2019-06-01,18,2,3,3,2,6.0,8.57,24.0,8.57,6.39,3.48,3.48
2019-07-01,20,1,3,3,2,6.96,7.83,25.22,7.83,7.06,2.94,4.71
2019-08-01,17,1,3,3,1,4.47,7.16,19.68,8.05,5.46,3.04,3.64
2019-09-01,13,1,4,2,1,3.47,6.07,15.6,6.93,3.96,1.7,2.83
2019-10-01,13,1,3,2,1,3.47,6.07,16.47,8.67,4.33,3.1,3.1
