,Sehun,Exo Kris,Exo Chen,Exo Suho,Exo Tao,Exo DO,Luhan,Chanyeol,Exo Kai,Xiumin,Exo Lay,Exo Baekhyun
2012-05-01,23,11,0,11,0,11.07,23.0,11.07,11.07,11.5,0.0,0.0
2012-06-01,11,11,11,11,11,10.21,0.0,0.0,10.21,11.0,0.0,0.0
2012-07-01,18,11,0,0,0,0.0,21.43,24.86,11.14,10.64,0.0,0.0
2012-08-01,21,31,0,0,0,13.44,24.36,13.44,0.0,10.5,10.5,0.0
2012-09-01,17,11,0,0,0,0.0,11.05,17.0,11.05,11.33,0.0,11.33
2012-10-01,17,20,10,10,0,10.2,23.8,15.3,10.2,20.24,10.52,0.0
2012-11-01,10,0,10,10,0,0.0,10.0,13.33,10.0,15.83,0.0,0.0
2012-12-01,9,19,0,9,9,0.0,27.0,9.0,9.0,9.0,9.0,9.0
2013-01-01,21,9,9,9,0,0.0,23.52,0.0,13.44,13.73,8.88,0.0
2013-02-01,16,0,0,0,0,0.0,10.11,19.37,10.11,9.14,0.0,9.14
2013-03-01,15,15,9,0,9,0.0,13.33,13.33,17.5,13.42,0.0,8.68
2013-04-01,13,9,9,0,9,0.0,25.19,11.38,13.0,13.76,0.0,0.0
2013-05-01,16,8,0,12,8,0.0,19.2,0.0,12.0,0.0,7.62,7.62
2013-06-01,28,8,8,8,14,12.73,19.52,25.45,21.21,20.8,16.8,12.0
2013-07-01,29,13,8,8,8,23.88,45.21,31.56,16.21,61.22,20.14,12.08
2013-08-01,32,26,21,16,11,28.63,42.11,26.11,28.63,63.2,24.0,8.0
2013-09-01,60,16,25,8,14,16.06,60.0,13.52,43.1,51.2,11.2,8.0
2013-10-01,51,18,8,8,8,30.6,20.4,30.6,15.3,63.95,15.38,0.0
2013-11-01,23,38,8,10,23,7.67,61.33,30.67,10.22,32.52,10.31,17.45
2013-12-01,58,11,8,0,23,10.09,52.96,32.78,20.17,37.34,15.1,7.95
2014-01-01,50,22,7,15,22,11.02,84.75,22.03,12.71,50.0,18.55,7.26
2014-02-01,29,8,8,11,16,15.74,65.46,33.97,26.51,39.19,11.76,7.84
2014-03-01,29,10,15,11,7,14.09,12.43,16.57,18.23,43.11,11.76,10.97
2014-04-01,50,30,11,7,11,15.25,47.46,24.58,7.63,32.26,7.26,7.26
2014-05-01,44,100,7,17,15,11.0,55.85,49.08,22.0,39.2,11.2,11.2
2014-06-01,66,32,12,8,11,16.08,84.62,26.23,16.08,46.92,23.86,34.19
2014-07-01,80,20,15,7,15,7.58,54.74,26.95,17.68,42.4,7.2,12.8
2014-08-01,50,12,7,0,12,12.71,27.12,32.2,27.12,37.3,7.14,15.08
2014-09-01,13,8,8,8,8,15.6,39.0,31.2,19.93,33.31,15.44,11.38
2014-10-01,27,15,22,0,11,7.59,58.22,14.34,9.28,27.0,11.45,0.0
2014-11-01,19,7,11,7,7,0.0,21.48,16.52,10.74,38.79,7.12,7.12
2014-12-01,35,7,0,9,11,6.67,20.83,23.33,20.83,42.16,7.16,13.52
2015-01-01,33,7,10,7,7,8.25,21.45,13.2,13.2,58.93,9.43,0.0
2015-02-01,30,7,8,8,8,7.5,20.0,22.5,0.0,47.37,0.0,7.11
2015-03-01,20,17,7,7,0,6.67,10.83,29.17,13.33,41.54,10.0,6.92
2015-04-01,45,7,7,7,17,9.34,22.92,58.58,13.58,76.34,13.66,13.66
